ComplexID	ComplexName	Organism	Synonyms	Cell line	subunits(UniProt IDs)	subunits(Entrez IDs)	Protein complex purification method	GO ID	GO description	FunCat ID	FunCat description	subunits(Gene name)	Subunits comment	PubMed ID	Complex comment	Disease comment	SWISSPROT organism	subunits(Gene name syn)	subunits(Protein name)
2686	BRCA1-core RNA polymerase II complex	Human	None	None	O15514;P19387;P19388;P24928;P30876;P36954;P38398;P52434;P52435;P53803;P61218;P62487;P62875	5433;5432;5434;5430;5431;5438;672;5437;5439;5440;5435;5436;5441	MI:0004- affinity chromatography technologies	GO:0006351;GO:0003677;GO:0005634	transcription, DNA-templated;DNA binding;nucleus	11;16.03.01;70.10	TRANSCRIPTION;DNA binding;nucleus	POLR2D;POLR2C;POLR2E;POLR2A;POLR2B;POLR2I;BRCA1;POLR2H;POLR2J;POLR2K;POLR2F;POLR2G;POLR2L	None	10725406	The transcriptional coactivator BRCA1 interacts directly with the core Pol II complex in vitro.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	;;;POLR2;;;RNF53;;POLR2J1;;POLRF;RPB7;	DNA-directed RNA polymerase II subunit RPB4 ;DNA-directed RNA polymerase II subunit RPB3 ;DNA-directed RNA polymerases I, II, and III subunit RPABC1 ;DNA-directed RNA polymerase II subunit RPB1;DNA-directed RNA polymerase II subunit RPB2 ;DNA-directed RNA polymerase II subunit RPB9 ;Breast cancer type 1 susceptibility protein;DNA-directed RNA polymerases I, II, and III subunit RPABC3 ;DNA-directed RNA polymerase II subunit RPB11-a ;DNA-directed RNA polymerases I, II, and III subunit RPABC4 ;DNA-directed RNA polymerases I, II, and III subunit RPABC2 ;DNA-directed RNA polymerase II subunit RPB7 ;DNA-directed RNA polymerases I, II, and III subunit RPABC5
2688	MMP14-CLDN1 complex	Human	MT1-MMP-claudin-1 complex	293T cells	O95832;P50281	9076;4323	MI:0006-anti bait coimmunoprecipitation	GO:1905050;GO:0045216	positive regulation of metallopeptidase activity;cell-cell junction organization	42.06.04	intercellular junction (gap junction/adherens junction)	CLDN1;MMP14	None	11382769	Claudin-5 was identified to promote the activation of pro-MMP-2 mediated by MT1-MMP in 293T cells.	None	Homo sapiens (Human);Homo sapiens (Human)	CLD1, SEMP1;None	Claudin-1;Matrix metalloproteinase-14
2692	SMAD3-SMAD4-cJun-cFos complex	Human	None	None	P01100;P05412;P84022;Q13485	2353;3725;4088;4089	MI:0412- electrophoretic mobility supershift assay	GO:0045893;GO:0003677;GO:0007179;GO:0005634	positive regulation of transcription, DNA-templated;DNA binding;transforming growth factor beta receptor signaling pathway;nucleus	11.02.03.04.01;16.03.01;30.05.01.18.01;70.10	transcription activation;DNA binding;TGF-beta-receptor signalling pathway;nucleus	FOS;JUN;SMAD3;SMAD4	None	9732876	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	G0S7;None;MADH3;DPC4 MADH4	Proto-oncogene c-Fos ;Transcription factor AP-1;Mothers against decapentaplegic homolog 3;Mothers against decapentaplegic homolog 4
2693	NFAT-JUN-FOS DNA-protein complex	Human	None	None	P01100;P05412;Q13469	2353;3725;4773	MI:0114- x-ray crystallography	GO:0045893;GO:0003677;GO:0006955	positive regulation of transcription, DNA-templated;DNA binding;immune response	11.02.03.04.01;16.03.01;36.25.16	transcription activation;DNA binding;immune response	FOS;JUN;NFATC2	None	9510247	NFAT and heterodimer Fos-Jun cooperatively bind a composite DNA site and synergistically activate the expression of many immune-response genes.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	G0S7;None;NFAT1 NFATP	Proto-oncogene c-Fos ;Transcription factor AP-1;Nuclear factor of activated T-cells, cytoplasmic 2
2694	ERG-JUN-FOS DNA-protein complex	Human	None	None	P01100;P05412;P11308	2353;3725;2078	MI:0096- pull down; MI:0413- electrophoretic mobility shift assay; MI:0114- x-ray crystallography	GO:2001141;GO:0006355;GO:0003677;GO:0005634	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;nucleus	11.02.03.04;16.03.01;70.10	transcriptional control;DNA binding;nucleus	FOS;JUN;ERG	None	11278640	The authors demonstrated that amino acids Arg(367) and Tyr(371) of the ETS domain, but not Asp374, play an important role in the recruitment of the Jun/Fos heterodimer by Erg. The authors propose that interdependent protein-protein and protein-DNA contacts regulate Erg-Jun/Fos-DNA complex assembly.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	G0S7;None;	Proto-oncogene c-Fos ;Transcription factor AP-1;Transcriptional regulator ERG
2695	ETS2-FOS-JUN complex	Human	None	None	P01100;P05412;P15036	2353;3725;2114	MI:0096- pull down	GO:2001141;GO:0006355;GO:0003677;GO:0005634	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;nucleus	11.02.03.04;16.03.01;70.10	transcriptional control;DNA binding;nucleus	FOS;JUN;ETS2	None	9334186	The results suggest that stromelysin-1 promoter DNA can enhance the ETS2/Fos/Jun interaction, perhaps by stabilizing protein contacts.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	G0S7;None;	Proto-oncogene c-Fos ;Transcription factor AP-1;Protein C-ets-2
2699	ESR1-JUN-GRIP1 complex	Human	ER-alpha-GRIP1-c-Jun complex	None	P03372;P05412;Q9Y3R0	2099;3725;23426	MI:0096-pull down	GO:2001141;GO:0006355;GO:0023052	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;signaling	11.02.03.04;30.01	transcriptional control;cellular signalling	ESR1;JUN;GRIP1	None	11477071	The authors showed that ERalpha , c-Jun, and the p160 coactivator GRIP1 can form a multiprotein complex in vitro and in intact cells and that the ERalpha - c-Jun interaction could be crucial for the stability of this complex.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	ESRA, NR3A1;None;None	Estrogen receptor;Transcription factor AP-1;Glutamate receptor-interacting protein 1
2700	ESR1-JUN complex	Human	ER-alpha-c-Jun complex	None	P03372;P05412	2099;3725	MI:0096-pull down;MI:0019-coimmunoprecipitation	GO:2001141;GO:0006355;GO:0003677;GO:0023052	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;signaling	11.02.03.04;16.03.01;30.01	transcriptional control;DNA binding;cellular signalling	ESR1;JUN	None	11477071	All experiments demonstrated that ER-alpha and c-Jun could interact in mammalian cells in a ligand-dependent manner.	None	Homo sapiens (Human);Homo sapiens (Human)	ESRA, NR3A1;None	Estrogen receptor;Transcription factor AP-1
2704	Ectodermin-SMAD4 complex	Human	None	None	Q13485;Q9UPN9	4089;51592	MI:0007-anti tag coimmunoprecipitation	GO:0016567;GO:0007179;GO:0005634	protein ubiquitination;transforming growth factor beta receptor signaling pathway;nucleus	14.07.05;30.05.01.18.01;70.10	modification by ubiquitination, deubiquitination;TGF-beta-receptor signalling pathway;nucleus	SMAD4;TRIM33	None	15820681	None	None	Homo sapiens (Human);Homo sapiens (Human)	DPC4 MADH4;KIAA1113 RFG7 TIF1G	Mothers against decapentaplegic homolog 4;E3 ubiquitin-protein ligase TRIM33
2705	SMAD3-SMAD4-CTCF protein-DNA complex	Human	None	None	P49711;P84022;Q13485	10664;4088;4089	MI:0413- electrophoretic mobility shift assay	GO:2001141;GO:0006355;GO:0003677;GO:0007179;GO:0005634	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;transforming growth factor beta receptor signaling pathway;nucleus	11.02.03.04;16.03.01;30.05.01.18.01;70.10	transcriptional control;DNA binding;TGF-beta-receptor signalling pathway;nucleus	CTCF;SMAD3;SMAD4	None	12099698	The authors demonstrated that TGF-beta increases APP gene transcription in NHAs (normal human astrocytes) through activation of the proximal APP promoter domain, (-488) base pairs (bp) relative to the transcription start site (+1). In the presence of TGF-beta stimulation, Smads 3 and 4 specifically associated with the CTCF-APBbeta complex, likely enhancing APP gene transcription.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	;MADH3;DPC4 MADH4	Transcriptional repressor CTCF ;Mothers against decapentaplegic homolog 3;Mothers against decapentaplegic homolog 4
2706	SMAD3-SMAD4-SP1 complex	Human	None	None	P08047;P84022;Q13485	6667;4088;4089	MI:0413- electrophoretic mobility shift assay; MI:0019- coimmunoprecipitation	GO:2001141;GO:0006355;GO:0003677;GO:0007179;GO:0005634	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;transforming growth factor beta receptor signaling pathway;nucleus	11.02.03.04;16.03.01;30.05.01.18.01;70.10	transcriptional control;DNA binding;TGF-beta-receptor signalling pathway;nucleus	SP1;SMAD3;SMAD4	None	11432852	The authors demonstrated that Sp1 and Smad3/Smad4 are able to bind the endoglin promoter at positions -50/-29 forming a multiprotein complex, and suggest their cooperation in the transcriptional activity of endoglin.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	TSFP1;MADH3;DPC4 MADH4	Transcription factor Sp1;Mothers against decapentaplegic homolog 3;Mothers against decapentaplegic homolog 4
2707	SMAD3-SMAD4-FOXO3-FOXG1 complex	Human	None	epithelium	O43524;P55316;P84022;Q13485	2309;2290;4088;4089	MI:0007- anti tag coimmunoprecipitation	GO:2001141;GO:0006355;GO:0003677;GO:0007179;GO:0005634	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;transforming growth factor beta receptor signaling pathway;nucleus	11.02.03.04;16.03.01;30.05.01.18.01;70.10	transcriptional control;DNA binding;TGF-beta-receptor signalling pathway;nucleus	FOXO3;FOXG1;SMAD3;SMAD4	None	15084259	The results suggest that FoxG1 is a direct inhibitor of the FoxO-Smad transcriptional complex and a blocker of p21Cip1 induction by TGF-beta signals in neuroepithelial cells.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	FKHRL1, FOXO3A;FKH2 FKHL1 FKHL2 FKHL3 FKHL4 FOXG1A FOXG1B FOXG1C;MADH3;DPC4 MADH4	Forkhead box protein O3;Forkhead box protein G1 ;Mothers against decapentaplegic homolog 3;Mothers against decapentaplegic homolog 4
2708	SMAD3-SMAD4-cJUN complex	Human	None	None	P05412;P84022;Q13485	3725;4088;4089	MI:0096- pull down	GO:2001141;GO:0006355;GO:0007179;GO:0005634	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;transforming growth factor beta receptor signaling pathway;nucleus	11.02.03.04;30.05.01.18.01;70.10	transcriptional control;TGF-beta-receptor signalling pathway;nucleus	JUN;SMAD3;SMAD4	None	10220381	On TGF-beta  treatment, Smad3 and Smad4 heteromerize and enter the nucleus, where they can associate with TGF-beta-responsive promoters by binding a discreet DNA sequence and/or AP-1 members bound to AP-1 sites on the same promoter.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None;MADH3;DPC4 MADH4	Transcription factor AP-1;Mothers against decapentaplegic homolog 3;Mothers against decapentaplegic homolog 4
2709	MMP-9-TIMP-1-LRP complex	Human	None	None	P01033;P14780;Q07954	7076;4318;4035	MI:0047- far western blotting; MI:0411- enzyme linked immunosorbent assay	GO:0030234;GO:0050790;GO:0006898;GO:0030198	enzyme regulator activity;regulation of catalytic activity;receptor-mediated endocytosis;extracellular matrix organization	18.02.01;20.09.18.09.01.01;42.27.01	enzymatic activity regulation / enzyme regulator;receptor-mediated endocytosis;extracellular matrix	TIMP1;MMP9;LRP1	None	11279011	The binding to LRP was blocked when excess RAP (39-kDa receptor-associated protein) was incubated along with MMP-9. Further results indicated that MMP-9 directly binds to LRP even in the absence of TIMP-1 and that reduction of MMP-9 abolishes its ability to bind LRP. The authors summarize that LRP is a functional receptor for MMP-9 and confirm that LRP is capable of mediating the cellular uptake of at least three MMPs (MMP-2, MMP-13, and MMP-9).	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	CLGI TIMP;CLG4B;A2MR APR	Metalloproteinase inhibitor 1 ;Matrix metalloproteinase-9 ;Prolow-density lipoprotein receptor-related protein 1
2710	LRP-1-Alpha-2-M-annexin VI complex	Human	None	None	P01023;P08133;Q07954	2;309;4035	MI:0019- coimmunoprecipitation	GO:0006898	receptor-mediated endocytosis	20.09.18.09.01.01	receptor-mediated endocytosis	A2M;ANXA6;LRP1	None	15226301	Cell surface annexin VI is involved in the binding of 125I-alpha-2M(activated) to LRP-1 at neutral pH and forms ternary complexes with 125I-alpha-2M(activated) and LRP-1 at neutral pH.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	CPAMD5;ANX6;A2MR APR	Alpha-2-macroglobulin ;Annexin A6 ;Prolow-density lipoprotein receptor-related protein 1
2711	Amyloid beta protein homo-oligomer complex	Human	Abeta homo-oligomer complex	None	P05067	351	MI:0019-coimmunoprecipitation	GO:1900272;GO:0048169	negative regulation of long-term synaptic potentiation;regulation of long-term neuronal synaptic plasticity	None	None	APP	None	15834427	Size fractionation showed that Abeta oligomers, not monomers or fibrils, were responsible for inhibiting long-term potentiation (LTP), and an Abeta antibody again prevented such inhibition.	None	Homo sapiens (Human)	Amyloid beta precursor protein	Amyloid beta A4 protein
2714	Ubiquitin E3 ligase (CHEK1, CUL1)	Human	None	None	O14757;Q13616	1111;8454	MI:0019-coimmunoprecipitation	GO:0016567;GO:0043161;GO:0006511;GO:0006974;GO:0005634	protein ubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;cellular response to DNA damage stimulus;nucleus	14.07.05;14.13.01.01;32.01.09;70.10	modification by ubiquitination, deubiquitination;proteasomal degradation (ubiquitin/proteasomal pathway);DNA damage response;nucleus	CHEK1;CUL1	None	16137618	Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. The Chk1 kinase is a major effector of S phase checkpoint signaling during the cellular response to genotoxic stress. Replicative stress induces the polyubiquitination and degradation of Chk1 in human cells.	None	Homo sapiens (Human);Homo sapiens (Human)	CHK1;None	Serine/threonine-protein kinase Chk1;Cullin-1
2715	Ubiquitin E3 ligase (CSN1, CSN8, HRT1, SKP1, SKP2, CUL1, CUL2, CUL3)	Human	None	None	P62877;P63208;Q13098;Q13309;Q13616;Q13617;Q13618;Q99627	9978;6500;2873;6502;8454;8453;8452;10920	MI:0047-far western blotting	GO:0006511;GO:0031461	ubiquitin-dependent protein catabolic process;cullin-RING ubiquitin ligase complex	14.13.01.01	proteasomal degradation (ubiquitin/proteasomal pathway)	RBX1;SKP1;GPS1;SKP2;CUL1;CUL2;CUL3;COPS8	None	11337588	Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. SCF ubiquitin ligases consist of at least four subunits: CUL1 and HRT1 (=ROC1, RBX1), which  harbor a core ubiquitin ligase activity; a variable F-box protein that serves as a substrate receptor; and SKP1, which links the two modules together. Because CSN binds all cullins, it might be a global signal integrator that radiates its output onto various associated ubiquitin ligases to modulate their activity.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	RNF75, ROC1;EMC19, OCP2, SKP1A, TCEB1L;COPS1, CSN1;FBXL1;None;None;KIAA0617;CSN8	E3 ubiquitin-protein ligase RBX1;S-phase kinase-associated protein 1;COP9 signalosome complex subunit 1;S-phase kinase-associated protein 2;Cullin-1;Cullin-2;Cullin-3;COP9 signalosome complex subunit 8
2716	Elongator core complex	Human	None	None	O95163;Q6IA86;Q9H9T3	8518;55250;55140	MI:0029- cosedimentation through density gradients	GO:0006354;GO:0005634	DNA-templated transcription, elongation;nucleus	11.02.03.01.04;70.10	transcription elongation;nucleus	IKBKAP;ELP2;ELP3	None	11714725	The core-Elongator complex does not have histone acetyltransferase activity despite containing the catalytic Elp3 subunit.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	ELP1 IKAP;STATIP1;	Elongator complex protein 1 ;Elongator complex protein 2 ;Elongator complex protein 3
2717	Ubiquitin E3 ligase (TRIM25, DDX58)	Human	TRIM25 E3 ubiquitin ligase	None	O95786;Q14258	23586;7706	MI:0096-pull down	GO:0016567;GO:0035556;GO:0050896;GO:0005737;GO:0006511	protein ubiquitination;intracellular signal transduction;response to stimulus;cytoplasm;ubiquitin-dependent protein catabolic process	14.07.05;30.01;36.25;70.03;14.13.01.01	modification by ubiquitination, deubiquitination;cellular signalling;animal specific systemic sensing and response;cytoplasm;proteasomal degradation (ubiquitin/proteasomal pathway)	DDX58;TRIM25	None	17392790	TRIM25 E3 ubiquitin ligase induces the Lys 63-linked ubiquitination of RIG-I, which is crucial for the cytosolic RIG-I signalling pathway to elicit host antiviral innate immunity.	None	Homo sapiens (Human);Homo sapiens (Human)	None;EFP RNF147 ZNF147	Probable ATP-dependent RNA helicase DDX58;E3 ubiquitin/ISG15 ligase TRIM25
2718	MAD2-CDC20 complex	Human	None	None	Q12834;Q13257	991;4085	MI:0114-x-ray crystallography	GO:0007050;GO:0007094;GO:0031145	cell cycle arrest;mitotic spindle assembly checkpoint;anaphase-promoting complex-dependent catabolic process	10.03.01.02	cell cycle arrest	CDC20;MAD2L1	None	10700282	The checkpoint protein Mad2 inhibits the activity of the anaphase promoting complex by sequestering Cdc20 until all chromosomes are aligned at the metaphase plate.	None	Homo sapiens (Human);Homo sapiens (Human)	None;MAD2	Cell division cycle protein 20 homolog;Mitotic spindle assembly checkpoint protein MAD2A
2719	Casein kinase II-HMG1 complex	Human	FCP1-specific kinase complex	HeLa nuclear extract	P09429;P19784;P67870;P68400	3146;1459;1460;1457	MI:0029-cosedimentation through density gradients	GO:0006468;GO:0032785;GO:0030234	protein phosphorylation;negative regulation of DNA-templated transcription, elongation;enzyme regulator activity	14.07.03;18.02.01	modification by phosphorylation, dephosphorylation, autophosphorylation;enzymatic activity regulation / enzyme regulator	HMGB1;CSNK2A2;CSNK2B;CSNK2A1	None	12591939	CK2 is comprised of the subunits CK2alpha , CK2alpha ', and CK2beta , and the differences in FCP1 kinase activity among the elution fractions reflect a dose-dependent effect related to the amount of CK2 present but do not depend on the presence of HMG1.Phosphorylation of FCP1 by CK2 inhibits the transcription elongation activity of FCP1.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	HMG1;CK2A2;CK2N G5A;CK2A1	High mobility group protein B1;Casein kinase II subunit alpha';Casein kinase II subunit beta;Casein kinase II subunit alpha
2720	Casein kinase II (beta-dimer, alpha, alpha')	Human	CK2 complex; FCP1-specific kinase complex	None	P19784;P67870;P68400	1459;1460;1457	MI:0029-cosedimentation through density gradients	GO:0006468;GO:0030234;GO:0032785	protein phosphorylation;enzyme regulator activity;negative regulation of DNA-templated transcription, elongation	14.07.03;18.02.01	modification by phosphorylation, dephosphorylation, autophosphorylation;enzymatic activity regulation / enzyme regulator	CSNK2A2;CSNK2B;CSNK2A1	None	12591939	CK2 phosphorylates FCP1 and RAP74. Phosphorylation of FCP1 by CK2 inhibits the transcription elongation activity of FCP1.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	CK2A2;CK2N G5A;CK2A1	Casein kinase II subunit alpha';Casein kinase II subunit beta;Casein kinase II subunit alpha
2721	HCF-1 complex	Human	HCF-1-associated protein complex	None	O15047;O15294;O75182;O75446;P07900;P08047;P11021;P11142;P34932;P51610;P61964;Q09028;Q13547;Q16576;Q92769;Q96ST3;Q9H7L9;Q9UBL3	9739;8473;23309;8819;3320;6667;3309;3312;3308;3054;11091;5928;3065;5931;3066;25942;64426;9070	MI:0007-anti tag coimmunoprecipitation	GO:0006265;GO:0000910;GO:0000917;GO:2001141;GO:0006355;GO:0000902;GO:0016049;GO:0051276;GO:0005634;GO:0016575;GO:0016571	DNA topological change;cytokinesis;barrier septum assembly;regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;cell morphogenesis;cell growth;chromosome organization;nucleus;histone deacetylation;histone methylation	10.01.09.05;10.03.03;11.02.03.04;40.01;42.10.03;70.10	DNA conformation modification (e.g. chromatin);cytokinesis (cell division) /septum formation and hydrolysis;transcriptional control;cell growth / morphogenesis;organization of chromosome structure;nucleus	SETD1A;OGT;SIN3B;SAP30;HSP90AA1;SP1;HSPA5;HSPA8;HSPA4;HCFC1;WDR5;RBBP4;HDAC1;RBBP7;HDAC2;SIN3A;SUDS3;ASH2L	Since the authors did not specify HSP90A, we used HSP90AA1.	12670868	HCF-1 can regulate transcription, both positively and negatively, through selective modulation of chromatin structure.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	KIAA0339, KMT2F, SET1, SET1A;None;KIAA0700;None;HSP90A, HSPC1, HSPCA;TSFP1;GRP78;HSC70, HSP73, HSPA10;APG2;HCF1, HFC1;BIG3;RBAP48;RPD3L1;RBAP46;None;None;SAP45, SDS3;ASH2L1	Histone-lysine N-methyltransferase SETD1A;UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit;Paired amphipathic helix protein Sin3b;Histone deacetylase complex subunit SAP30;Heat shock protein HSP 90-alpha;Transcription factor Sp1;78 kDa glucose-regulated protein;Heat shock cognate 71 kDa protein;Heat shock 70 kDa protein 4;Host cell factor 1;WD repeat-containing protein 5;Histone-binding protein RBBP4;Histone deacetylase 1;Histone-binding protein RBBP7;Histone deacetylase 2;Paired amphipathic helix protein Sin3a;Sin3 histone deacetylase corepressor complex component SDS3;Set1/Ash2 histone methyltransferase complex subunit ASH2
2722	Ubiquitin E3 ligase (DDB1, CUL4A, RBX1)	Human	None	None	P62877;Q13619;Q16531	9978;8451;1642	MI:0019-coimmunoprecipitation	GO:0016567;GO:0043161;GO:0006511;GO:0006974	protein ubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;cellular response to DNA damage stimulus	14.07.05;14.13.01.01;32.01.09	modification by ubiquitination, deubiquitination;proteasomal degradation (ubiquitin/proteasomal pathway);DNA damage response	RBX1;CUL4A;DDB1	None	15448697	Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. The ubiquitin E3 ligase (DDB1, CUL4A and RBX1) perfoms targeted ubiquitination of CDT1 in response to DNA damage.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	RNF75, ROC1;None;XAP1	E3 ubiquitin-protein ligase RBX1;Cullin-4A;DNA damage-binding protein 1
2723	ATM-NBN complex	Human	ATM-NBS1 complex	None	O60934;Q13315	4683;472	MI:0006-anti bait coimmunoprecipitation;MI:0007-anti tag coimmunoprecipitation;MI:0096-pull down	GO:0000075;GO:0006468;GO:0046777;GO:0006974;GO:0009314;GO:0005634	cell cycle checkpoint;protein phosphorylation;protein autophosphorylation;cellular response to DNA damage stimulus;response to radiation;nucleus	10.03.01.03;14.07.03;32.01.09;32.01.13;70.10	cell cycle checkpoints (checkpoints of morphogenesis, DNA-damage,-replication, mitotic phase and spindle);modification by phosphorylation, dephosphorylation, autophosphorylation;DNA damage response;electromagnetic waves stress response (e.g. UV, X-ray);nucleus	NBN;ATM	None	10839544	NBS1 (NBN) was co-immunoprecipitated by the ATM antibody from untreated cells and in increased quantities from cells treated with ionizing radiation. The results indicate that phosphorylation of Ser 278 and Ser 343 in NBS1 contributes to both cellular resistance to ionizing radiation and formation of foci that contain NBS1 in response to ionizing radiation.	None	Homo sapiens (Human);Homo sapiens (Human)	NBS, NBS1, P95;None	Nibrin;Serine-protein kinase ATM
2724	Ubiquitin E3 ligase (NFKBIA, BTRC, CUL1, SKP1A)	Human	None	None	P25963;P63208;Q13616;Q9Y297	4792;6500;8454;8945	MI:0007-anti tag coimmunoprecipitation	GO:0016567;GO:0043161;GO:0006511	protein ubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process	14.07.05;14.13.01.01	modification by ubiquitination, deubiquitination;proteasomal degradation (ubiquitin/proteasomal pathway)	NFKBIA;SKP1;CUL1;BTRC	None	10644755	Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. Ubiquitination-dependent destruction of NF-kappa-B inhibitor alpha is mediated by ubiquitin E3 ligases containing heterdimers and homodimers of beta-TrCP1 (BTRC) and beta-TrCP2 (FBXW11).	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	IKBA, MAD3, NFKBI;EMC19, OCP2, SKP1A, TCEB1L;None;TRCP1, BTRCP, FBW1A, FBXW1A	NF-kappa-B inhibitor alpha;S-phase kinase-associated protein 1;Cullin-1;F-box/WD repeat-containing protein 1A
2725	Ubiquitin E3 ligase (NFKBIA, FBXW11, CUL1, SKP1A)	Human	None	None	P25963;P63208;Q13616;Q9UKB1	4792;6500;8454;23291	MI:0007-anti tag coimmunoprecipitation	GO:0016567;GO:0043161;GO:0006511;GO:0005737;GO:0043122	protein ubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;cytoplasm;regulation of I-kappaB kinase/NF-kappaB signaling	14.07.05;14.13.01.01;70.03	modification by ubiquitination, deubiquitination;proteasomal degradation (ubiquitin/proteasomal pathway);cytoplasm	NFKBIA;SKP1;CUL1;FBXW11	None	10644755	Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. Ubiquitination-dependent destruction of NF-kappa-B inhibitor alpha is mediated by ubiquitin E3 ligases containing heterdimers and homodimers of beta-TrCP1 (BTRC) and beta-TrCP2 (FBXW11).	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	IKBA, MAD3, NFKBI;EMC19, OCP2, SKP1A, TCEB1L;None;TRCP2, BTRCP2, FBW1B, FBXW1B, KIAA0696	NF-kappa-B inhibitor alpha;S-phase kinase-associated protein 1;Cullin-1;F-box/WD repeat-containing protein 11
2726	PXN-ITGB5-PTK2 complex	Human	None	None	P18084;P49023;Q05397	3693;5829;5747	MI:0019- coimmunoprecipitation	GO:0007229	integrin-mediated signaling pathway	30.05.02.26	integrin receptor signalling pathway	ITGB5;PXN;PTK2	None	11278329	The changes in the expression of PAR1 in a cell affect its invasive capabilities. These changes come about through the specific recruitment of the alpha(v)-beta 5 integrin, through cytoskeletal reorganization, and through distinct signaling at FACs.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None;None;FAK, FAK1	Integrin beta-5;Paxillin;Focal adhesion kinase 1
